province,year,GDP (100million),GDP per capita,Agricultural population (10thousand),Rural final consumption expenditure (100million),Total export (10000 USD),Fixed asset investment (10000),Urban residents final consumption expenditure (100million),Total population (10thousand),Primary industry added value (100million),Tertiary industry added value (100million),Secondary industry added value (100million),Fiscal expenditure (10000),Fiscal revenue (10000),Total import and export (10000 USD),Total import (10000 USD),Non-agricultural population (10thousand)
内蒙古,1973年,44.07,269,1242.5,,,81000.0,,1651.1,16.22,9.71,18.14,114983,34123,,,408.6
内蒙古,1974年,43.26,256,1286.5,,,100000.0,,1705.2,15.97,9.99,17.3,124842,26900,,,418.7
内蒙古,1975年,48.55,280,1306.3,,394,101000.0,,1737.9,18.15,10.38,20.02,129157,27400,925,531,431.6
内蒙古,1976年,48.09,272,1326.8,,,101000.0,,1769.2,18.51,10.81,18.77,138332,26600,,,442.4
内蒙古,1977年,51.65,287,1347.3,,,118000.0,,1798.1,18.91,11.14,21.6,140470,29339,,,450.8
内蒙古,1978年,58.04,317.0,1360.8,17.73,1026,152000.0,20.03,1823.4,19.0,12.71,26.4,186900,69046,1600,526,462.6
内蒙古,1979年,64.14,343.0,1371.8,20.96,1263,164000.0,23.72,1876.0,21.03,14.74,28.37,210416,45600,2016,753,480
内蒙古,1980年,68.4,361.0,1380.8,28.22,2663,152100.0,27.61,1876.5,18.03,18.11,32.26,183721,41300,4397,1734,495.7
内蒙古,1981年,77.91,407.0,1390.6,34.52,4558,122000.0,32.56,1902.9,27.14,18.73,32.04,163506,41600,6008,1450,512.3
内蒙古,1982年,93.22,480.0,1414.6,43.66,7211,174000.0,35.41,1941.6,33.32,22.69,37.21,203074,51842,8173,962,527
内蒙古,1983年,105.88,535.0,1431.9,46.17,5711,235000.0,37.62,1969.8,35.9,28.0,41.98,228273,69900,9001,3290,537.9
内蒙古,1984年,128.2,640.0,1444.9,48.8,7895,273000.0,40.58,1993.1,42.98,37.48,47.74,308604,84600,10912,3017,548.2
内蒙古,1985年,163.83,809.0,1441.2,57.88,13708,524200.0,47.24,2015.9,53.54,53.34,56.95,341832,133900,18448,4740,574.7
内蒙古,1986年,181.58,888.0,1451.7,59.54,17104,475700.0,58.68,2040.7,54.64,65.39,61.55,438955,160206,23937,6833,589.0
内蒙古,1987年,212.27,1025.0,1456.7,68.71,22654.0,533200.0,66.57,2066.4,62.21,79.64,70.42,455597,194326,30398.0,7744,609.7
